mrank,name,year
46,Amanda Bynes,2008
47,Ashley Olsen,2008
48,Leighton Meester,2008
49,Nelly Furtado,2008
50,Anna Paquin,2008
51,Leslie Bibb,2008
52,Mena Suvari,2008
53,Jessica Simpson,2008
54,Minka Kelly,2008
55,Kristen Bell,2008
56,Lauren Conrad,2008
57,Taylor Swift,2008
58,Rebecca Romijn,2008
59,Malin Akerman,2008
60,Taryn Manning,2008
61,Isla Fisher,2008
62,Kat Von D,2008
63,Selita Ebanks,2008
64,Diora Baird,2008
65,Karolina Kurkova,2008
66,Christina Ricci,2008
67,Sarah Mutch,2008
68,Emilie de Ravin,2008
69,Vanessa Minnillo,2008
70,Roselyn Sanchez,2008
71,Mariah Carey,2008
72,Natasha Bedingfield,2008
73,Gabrielle Union,2008
74,Audrina Patridge,2008
75,Mandy Moore,2008
76,Kate Bosworth,2008
77,Alicia Keys,2008
78,Susie Castillo,2008
79,Christina Milian,2008
80,Natalie Zea,2008
81,Mila Kunis,2008
82,Penelope Cruz,2008
83,Whitney Able,2008
84,America Ferrera,2008
85,Paz Vega,2008
86,Ashley Scott,2008
87,Dita Von Teese,2008
88,Evangeline Lilly,2008
89,Stacy Keibler,2008
90,Lacey Chabert,2008
91,Danica Patrick,2008
92,Ali Larter,2008
93,Brittany Snow,2008
94,Emma Watson,2008
95,Zooey Deschanel,2008
96,Michele Merkin,2008
97,Olivia Wilde,2008
98,Cheryl Burke,2008
99,Olivia Munn,2008
100,Tila Tequila,2008
1,Olivia Wilde,2009
2,Megan Fox,2009
3,Bar Refaeli,2009
4,Malin Akerman,2009
5,Mila Kunis,2009
6,Eliza Dushku,2009
7,Adriana Lima,2009
8,Rihanna,2009
9,Jordana Brewster,2009
10,Jennifer Love Hewitt,2009
11,Jessica Biel,2009
12,Leighton Meester,2009
13,Jessica Alba,2009
14,Christina Aguilera,2009
15,Katy Perry,2009
16,Gina Carano,2009
17,Britney Spears,2009
18,Marisa Miller,2009
19,Chan Marshall,2009
20,Moon Bloodgood,2009
21,AnnaLynne McCord,2009
22,Kate Beckinsale,2009
23,Lindsay Lohan,2009
24,Eva Mendes,2009
25,Julianne Hough,2009
26,Angelina Jolie,2009
27,Vanessa Hudgens,2009
28,Danneel Harris,2009
29,Zoe Saldana,2009
30,Penelope Cruz,2009
31,Hilary Duff,2009
32,Ciara,2009
33,Blake Lively,2009
34,Scarlett Johansson,2009
35,Anna Kournikova,2009
36,Hayden Panettiere,2009
37,Cameron Diaz,2009
38,Charlize Theron,2009
39,Anna Faris,2009
40,Lily Allen,2009
41,Nadine Velazquez,2009
42,Nikki Reed,2009
43,Elisha Cuthbert,2009
44,Avril Lavigne,2009
45,Fergie,2009
46,Nicole Scherzinger,2009
47,Katie Cassidy,2009
48,Freida Pinto,2009
49,Taylor Swift,2009
50,Sienna Miller,2009
51,Beyonce,2009
52,Kim Kardashian,2009
53,Rachel Bilson,2009
54,Christina Milian,2009
55,Amber Heard,2009
